iter	Passed	Remaining
410	4556	3514
411	4567	3502
412	4578	3492
413	4589	3480
414	4600	3469
415	4611	3458
416	4622	3447
417	4634	3437
418	4645	3426
419	4657	3415
420	4668	3404
421	4680	3393
422	4692	3383
423	4703	3372
424	4714	3361
425	4725	3349
426	4735	3338
427	4736	3320
428	4747	3309
429	4759	3298
430	4770	3286
431	4780	3275
432	4792	3264
433	4803	3254
434	4815	3243
435	4826	3232
436	4837	3221
437	4848	3210
438	4859	3199
439	4871	3188
440	4882	3177
441	4893	3166
442	4905	3155
443	4917	3145
444	4928	3134
445	4939	3122
446	4951	3112
447	4962	3101
448	4973	3090
449	4984	3079
450	4996	3068
451	5007	3057
452	5019	3047
453	5030	3036
454	5042	3025
455	5055	3015
456	5066	3004
457	5077	2993
458	5089	2982
459	5101	2972
460	5113	2961
461	5124	2950
462	5136	2939
463	5148	2929
464	5159	2918
465	5171	2907
466	5182	2896
467	5193	2885
468	5205	2874
469	5216	2863
470	5226	2852
471	5238	2841
472	5249	2830
473	5261	2819
474	5273	2808
475	5285	2797
476	5297	2787
477	5308	2776
478	5320	2765
479	5332	2755
480	5343	2743
481	5354	2732
482	5366	2721
483	5377	2710
484	5388	2699
485	5399	2688
486	5410	2677
487	5421	2666
488	5432	2655
489	5443	2644
490	5454	2632
491	5465	2621
492	5477	2610
493	5488	2600
494	5500	2589
495	5512	2578
496	5523	2567
497	5535	2556
498	5546	2545
499	5557	2534
500	5569	2523
501	5581	2512
502	5592	2501
503	5603	2490
504	5615	2479
505	5626	2468
506	5637	2457
507	5649	2446
508	5660	2435
509	5671	2424
510	5683	2413
511	5695	2402
512	5707	2391
513	5719	2381
514	5731	2370
515	5743	2359
516	5755	2349
517	5767	2338
518	5779	2327
519	5791	2316
520	5802	2305
521	5815	2294
522	5826	2283
523	5838	2272
524	5849	2261
525	5862	2251
526	5874	2240
527	5886	2229
528	5897	2218
529	5909	2207
530	5921	2196
531	5932	2185
532	5943	2174
533	5954	2163
534	5965	2151
535	5976	2140
536	5986	2129
537	5997	2118
538	6008	2106
539	6019	2095
540	6030	2084
541	6042	2073
542	6053	2062
543	6063	2050
544	6074	2039
545	6085	2028
546	6096	2017
547	6107	2006
548	6118	1994
549	6129	1983
550	6140	1972
551	6152	1961
552	6163	1950
553	6174	1939
554	6185	1927
555	6195	1916
556	6206	1905
557	6217	1894
558	6228	1883
559	6239	1871
560	6251	1860
561	6262	1849
562	6273	1838
563	6284	1827
564	6295	1816
565	6306	1805
566	6318	1794
567	6329	1782
568	6341	1771
569	6352	1760
570	6363	1749
571	6374	1738
572	6384	1727
573	6395	1715
574	6406	1704
575	6417	1693
576	6428	1682
577	6439	1671
578	6450	1660
579	6462	1648
580	6473	1637
581	6484	1626
582	6496	1615
583	6507	1604
584	6518	1593
585	6529	1582
586	6540	1571
587	6551	1559
588	6564	1549
589	6574	1537
590	6586	1526
591	6598	1515
592	6609	1504
593	6620	1493
594	6632	1482
595	6643	1471
596	6655	1460
597	6667	1449
598	6680	1438
599	6692	1427
600	6704	1416
601	6716	1405
