iter	Logloss
0	0.5825754762
1	0.5245561386
2	0.4568745813
3	0.4033294548
4	0.3556929329
5	0.3305338655
6	0.3132674095
7	0.2920813058
8	0.2708218729
9	0.2551296439
10	0.239021013
11	0.2231749435
12	0.2154562674
13	0.2067274398
14	0.1977425596
15	0.189428295
16	0.1799021574
17	0.1726951486
18	0.1635862003
19	0.1524378675
20	0.1426186429
21	0.1342919092
22	0.1271073209
23	0.1210760876
24	0.1153517786
25	0.1107024951
26	0.1074991093
27	0.1033792202
28	0.09885970477
29	0.09452695108
30	0.09146515879
31	0.08753925471
32	0.08520151623
33	0.08146338716
34	0.07806342354
35	0.07526380621
36	0.07263997356
37	0.07020713114
38	0.06826063968
39	0.06606643683
40	0.06414949
41	0.06261709044
42	0.06078054306
43	0.05913409166
44	0.05772757112
45	0.05626478247
46	0.05485037854
47	0.05350787533
48	0.05219670213
49	0.05110382645
50	0.04980088411
51	0.04864240415
52	0.04766785408
53	0.04668080214
54	0.04584030279
55	0.04493028512
56	0.04388450465
57	0.04315170911
58	0.04232529551
59	0.0416021819
60	0.04086140993
61	0.04020440154
62	0.03954486063
63	0.03877581066
64	0.03811178007
65	0.03749342175
66	0.03687588935
67	0.03630103608
68	0.03578666267
69	0.0351723315
70	0.0345623797
71	0.03395962696
72	0.03344750178
73	0.03302898945
74	0.03257713052
75	0.0320440321
76	0.03158760587
77	0.03121506743
78	0.0307764222
79	0.0303852999
80	0.02997296331
81	0.02962338584
82	0.02920207937
83	0.02880430709
84	0.02742923981
85	0.02711050251
86	0.02677449126
87	0.02642056111
88	0.02608686537
89	0.02575356528
90	0.02545114529
91	0.02516079344
92	0.02487740509
93	0.02462596369
94	0.02432975387
95	0.02402766378
96	0.02377982583
97	0.02349303893
98	0.0232630667
99	0.02304509428
100	0.02277415451
101	0.02252952774
102	0.02228323548
103	0.02208379826
104	0.02186754995
105	0.02130398702
106	0.02112766825
107	0.02093248484
108	0.02074984111
109	0.02058097072
110	0.02040205015
111	0.02023544618
112	0.0200659
113	0.01990494163
114	0.01972716208
115	0.01955685616
116	0.01938341966
117	0.01922175828
118	0.01905729356
119	0.01887207294
120	0.01869544814
121	0.01852100657
122	0.01836519776
123	0.01821975961
124	0.01809205283
125	0.01795949876
126	0.01782963422
127	0.01768832753
128	0.01756278591
129	0.01743926582
130	0.01730242998
131	0.01717461006
